Metadata_Plate,Platemap,Percent_Failed_Saturated_OrigActin,Percent_Failed_Saturated_OrigDNA,Percent_Failed_Saturated_OrigER,Percent_Failed_Saturated_OrigMito,Percent_Failed_Saturated_OrigPM,Percent_Failed_Blur_OrigActin,Percent_Failed_Blur_OrigDNA,Percent_Failed_Blur_OrigER,Percent_Failed_Blur_OrigMito,Percent_Failed_Blur_OrigPM,Percent_Failed_Any,Percent_Failed_Blur,Percent_Failed_Saturation,Total_image_sets
CARD-CelIns-CX7_251023210001,platemap_1,0.0,1.5,0.0,0.5,3.0,0.0,12.5,2.0,2.0,0.0,15.0,13.5,4.0,200
CARD-CelIns-CX7_251124150001,platemap_1,0.0,2.5,0.0,2.0,0.5,0.0,14.0,7.5,0.5,0.0,19.5,17.0,4.5,200
CARD-CelIns-CX7_251125110001,platemap_1,0.0,3.0,0.5,1.0,0.5,0.0,8.5,12.0,2.5,0.0,18.0,15.5,4.5,200
CARD-CelIns-CX7_251126130001,platemap_1,1.0,3.5,0.0,4.0,0.0,0.0,8.0,4.5,0.5,0.0,16.0,10.5,8.0,200
CARD-CelIns-CX7_251130110002,platemap_2,0.0,1.5,0.0,12.5,0.5,4.5,36.5,27.5,12.0,0.0,49.5,45.5,14.5,200
CARD-CelIns-CX7_251201110001,platemap_2,0.0,0.5,0.0,14.0,0.0,4.5,42.0,24.5,15.0,1.5,53.5,49.5,14.5,200
CARD-CelIns-CX7_251201190001,platemap_2,0.0,0.5,0.0,5.5,0.0,2.5,45.0,32.0,9.0,0.0,52.5,50.5,5.5,200
CARD-CelIns-CX7_251202100001,platemap_2,0.0,0.5,0.5,7.5,0.5,2.5,38.0,17.0,8.5,0.0,43.0,40.0,8.0,200
CARD-CelIns-CX7_251203170001,platemap_3,6.0,0.0,0.0,21.0,0.5,0.5,32.0,9.0,13.0,1.0,52.0,38.5,27.0,200
CARD-CelIns-CX7_251205100001,platemap_3,0.0,0.5,0.0,21.0,0.5,0.0,24.0,3.0,8.0,0.0,44.5,28.5,21.5,200
CARD-CelIns-CX7_251208160001,platemap_3,0.5,0.0,0.0,22.0,1.0,1.0,30.0,4.5,9.0,1.0,45.5,32.0,22.5,200
CARD-CelIns-CX7_251210180001,platemap_3,0.0,0.0,0.0,15.5,1.5,1.0,33.0,5.5,8.5,0.0,43.5,33.5,15.5,200
CARD-CelIns-CX7_251211180001,platemap_4,0.0,0.0,0.0,14.0,0.0,2.0,34.5,31.5,7.0,0.0,47.5,42.0,14.0,200
CARD-CelIns-CX7_251212100001,platemap_4,0.0,0.5,0.0,9.5,0.0,9.0,38.0,32.0,12.5,2.0,53.0,46.5,10.0,200
CARD-CelIns-CX7_251212180001,platemap_4,0.0,2.0,0.0,17.5,0.0,3.0,39.5,25.5,10.0,1.0,56.5,46.0,18.5,200
CARD-CelIns-CX7_251213150001,platemap_4,0.0,0.0,0.5,20.0,0.0,6.5,44.0,33.0,12.5,1.0,62.0,50.5,20.0,200
CARD-CelIns-CX7_251215140002,platemap_5,0.0,0.0,0.0,0.5,0.0,0.0,22.0,3.5,1.5,1.5,23.5,23.0,0.5,200
