perturbation,Pathway,mean_on_buscar_scores,mean_off_buscar_scores,mean_average_precision
DMSO_healthy,,,,0.3908649640519617
UCD-0000083,Neuronal Signaling,1.9725994015460893,0.5553575404350793,0.1033687983046005
UCD-0000101,Endocrinology & Hormones,1.5963392224662716,0.2311620136639584,0.0593124072470423
UCD-0000201,GPCR & G Protein,1.250051386505903,0.500450977399115,0.2543771043771043
UCD-0000243,Neuronal Signaling,1.1711835673738835,0.1547215107365483,0.0979404137495406
UCD-0000253,Neuronal Signaling,1.038427967664889,0.1122487962275559,0.0642967429480587
UCD-0000295,Metabolism,1.905625427623463,0.3253093098254039,0.0399579330907688
UCD-0000324,Metabolism,0.9880746940658348,0.1168451386227974,0.057966492695779
UCD-0000377,Transmembrane Transporters,1.0118465688629972,0.2152789253353162,0.1532632343376884
UCD-0000421,Neuronal Signaling,1.169039481116562,0.2301153411312453,0.0489585142132994
UCD-0000450,Neuronal Signaling,1.0402589552555324,0.0891616194136162,0.0245558444213023
UCD-0000463,Others,1.4021847182595704,0.6073343653700797,0.5333333333333333
UCD-0000469,Neuronal Signaling,1.134677163309343,0.2957069472051424,0.1151059355754028
UCD-0000490,Neuronal Signaling,0.9473724075515866,0.0732976102541305,0.0358477321684785
UCD-0000533,GPCR & G Protein,1.009689871917749,0.350404404477585,0.2397856444757972
UCD-0000576,Neuronal Signaling,1.0347720681800276,0.1031765385736038,0.0240277830975804
UCD-0000684,Others,1.0482950239110185,0.1509003125905046,0.0429034218961416
UCD-0000721,Neuronal Signaling,2.0014484391598453,0.1679197994987468,0.0098716203073332
UCD-0000730,Metabolism,4.252958939967666,0.504658060523149,0.1019579181340015
UCD-0000737,GPCR & G Protein,1.02785140777917,0.2325726719193266,0.0885966328792796
UCD-0000757,Metabolism,1.1905502940271016,0.5588230834447584,0.123551030252807
UCD-0000786,GPCR & G Protein,1.0502889521104584,0.1495049615379855,0.0313312539589651
UCD-0000841,Neuronal Signaling,1.7071276160842226,0.4834809599365507,0.4745039682539682
UCD-0000849,Endocrinology & Hormones,1.5818534175993066,0.2982423300123984,0.1790670027954166
UCD-0000872,Metabolism,15.24394666294896,0.2560220880581183,0.0901546938219732
UCD-0000878,Transmembrane Transporters,2.8283618053115007,0.2874616316991925,0.6747474747474748
UCD-0000904,GPCR & G Protein,1.1665180748752568,0.2674063057521704,0.0953665821500286
UCD-0000918,Proteases,1.1117642782875787,0.1591235605803274,0.1308167013771738
UCD-0000936,Neuronal Signaling,1.3910800988457046,0.3003161790298663,0.1075251817898876
UCD-0000972,Neuronal Signaling,1.0706765350903922,0.1688232114140501,0.0536108667392406
UCD-0001002,Neuronal Signaling,1.2046142443944767,0.1883918243410724,0.093791113155009
UCD-0001014,Neuronal Signaling,1.0931636738848405,0.0435671757724186,0.0163311116598785
UCD-0001016,Neuronal Signaling,1.0975411715451178,0.3882097989459699,0.1636766363668537
UCD-0001024,Neuronal Signaling,1.0018048575993022,0.0178400775500052,0.0232870989426068
UCD-0001040,Endocrinology & Hormones,1.3092110957310157,0.2211091237738302,0.1190626273675637
UCD-0001059,Epigenetics,1.0075197816612136,0.1439267238609343,0.0354080003315808
UCD-0001078,Metabolism,2.9049336554922327,0.0118518518518518,0.0818879538725261
UCD-0001086,Endocrinology & Hormones,1.073384571836109,0.3629370592792418,0.1284613812586958
UCD-0001098,Neuronal Signaling,1.607902684648433,0.6441011143548738,0.6855392156862745
UCD-0001101,Neuronal Signaling,11.148175560083551,0.426842584819309,0.2246692625537336
UCD-0001162,Endocrinology & Hormones,1.2506470957803726,0.1428571428571428,
UCD-0001186,Neuronal Signaling,1.0820135897067933,0.1390846483652238,0.0216838436355873
UCD-0001305,Neuronal Signaling,1.0668934910869856,0.209404918129504,0.1116146475726188
UCD-0001391,Metabolism,1.1122973120320796,0.3177965195889669,0.4535898583539249
UCD-0001419,Transmembrane Transporters,1.0791039043362505,0.108920146819631,0.0900513877271409
UCD-0001435,Others,1.051478996712996,0.0819706232625064,0.0229378025934092
UCD-0001441,Neuronal Signaling,1.0422159134391835,0.2054022126038504,0.0545366536317279
UCD-0001463,Neuronal Signaling,1.28420143270814,0.3793233829845341,0.0784887411016152
UCD-0001567,Transmembrane Transporters,1.7618845638699092,0.3221486110065497,0.0219990435198469
UCD-0001580,Transmembrane Transporters,1.921364067283426,0.0,
UCD-0001613,Endocrinology & Hormones,1.0399908355439589,0.144622669771175,0.0306486419047773
UCD-0001616,Metabolism,1.0644374784601247,0.254549152038907,0.0426631339509679
UCD-0001616B,Others,1.0516513604161302,0.1324272689310332,0.0385274729520894
UCD-0001653,Transmembrane Transporters,1.0461120702261604,0.1888887932590939,0.0535946475997057
UCD-0001657,GPCR & G Protein,0.9778624946149826,0.2296432090605022,0.1482597006107068
UCD-0001733,Protein Tyrosine Kinase,1.1871799262037308,0.4294777797551708,0.1117859886178668
UCD-0001759,Angiogenesis,7.762690833051959,0.7213960274046058,0.5855429292929293
UCD-0001766,Angiogenesis,2.7218511135941705,0.4387166761957404,0.087794317765204
UCD-0001775,Others,1.0101506556682718,0.1626902561056926,0.0265398142948903
UCD-0001784,Cell Cycle,10.361087830776125,0.0,
UCD-0001790,Cell Cycle,3.28431111382342,0.7892376681614349,
UCD-0001800,Others,4.482730410998864,0.0323886639676113,0.0067117117117117
UCD-0001801,Endocrinology & Hormones,1.6506582891597312,0.3243383709984595,0.0817866155224871
UCD-0001802,Others,1.3090049904220007,0.4556323851018826,0.0845032066483903
UCD-0001804,MAPK,1.0767884519160549,0.3591746012858359,0.2152331850248516
UCD-0001808,MAPK,2.3492334114622224,0.4418019071750826,0.2519207929340518
UCD-0001810,DNA Damage,1.0317505288352675,0.276060152292483,0.1123703900580831
UCD-0001812,Others,1.861457535810687,0.6001547909376274,0.2306860393101811
UCD-0001816,Metabolism,2.0544868462165398,0.6413993393571276,0.2028450153450153
UCD-0001818,MAPK,1.0308683020994378,0.2846275913973988,0.1020592198076439
UCD-0001822,MAPK,1.20566063076941,0.4410057938070002,0.1139284861180717
UCD-0001829,PI3K/Akt/mTOR,0.9578250774948198,0.2104830685748645,0.2277399428882479
UCD-0001835,Others,7.805743331255739,0.0594245112317401,0.012864354339684
UCD-0001842,Neuronal Signaling,2.357022894149978,0.3866982348418122,0.1274308857272414
UCD-0001843,DNA Damage,1.1147631600220864,0.5194936219767862,0.2039674322845237
UCD-0001844,Others,5.374114270003944,0.7479885540288587,0.65
UCD-0001850,Others,1.0289627079277612,0.3762982076406035,0.1611914544550725
UCD-0001856,Angiogenesis,1.2996562897787225,0.6270751129984805,0.756547619047619
UCD-0001861,Angiogenesis,2.1820655952547234,0.6142212468849387,0.1872267936623275
UCD-0001863,Angiogenesis,1.8570402596847584,0.6142326308721422,0.6418542568542569
UCD-0001864,Angiogenesis,4.089984848161967,0.192200557103064,
UCD-0001869,Protein Tyrosine Kinase,1.1469033344261077,0.3914535227962145,0.4020887690879202
UCD-0001870,Angiogenesis,22.37804742598358,0.2996515679442508,
UCD-0001885,PI3K/Akt/mTOR,2.5750593089780907,0.6081438147702605,0.2127828328742134
UCD-0001886,Cell Cycle,1.5556707180995637,0.1954064327541242,0.0460847643328331
UCD-0001888,PI3K/Akt/mTOR,1.4173877706704323,0.5788423325532217,0.1518592026549265
UCD-0001900,PI3K/Akt/mTOR,1.0444145786691972,0.2333163859281699,0.0346098694821248
UCD-0001915,Others,1.7483493986995144,0.1098139012567554,0.1201189576386195
UCD-0001921,Epigenetics,1.1458544633315195,0.5696074257009052,0.1366837120841697
UCD-0001924,Epigenetics,1.88606202539412,0.6524565381708238,1.0
UCD-0001925,Epigenetics,4.77369382363814,0.5562968267228918,0.0458828846759881
UCD-0001927,Epigenetics,1.0928655315665607,0.2320715360859522,0.5292748917748917
UCD-0001944,Epigenetics,1.1030989328830187,0.3503956727857316,0.0806041112361006
UCD-0001952,Epigenetics,1.0311081992891638,0.1391139060527988,0.0391880434818404
UCD-0001953,Epigenetics,1.6106841730057138,0.522561204239714,0.0376084878841494
UCD-0001957,Epigenetics,1.110319747543166,0.2044667550567128,0.2249659373329586
UCD-0011098,Neuronal Signaling,1.1049633097896294,0.4052062772927434,0.1843587908635327
UCD-0011250,Endocrinology & Hormones,1.0862713835118605,0.270448213023401,0.048042700425195
UCD-0011696,JAK/STAT,1.1423563710259492,0.2633970111686166,0.0191336023440518
UCD-0013217,Epigenetics,1.073660987571016,0.2509052537788301,0.0886014120118939
UCD-0017582,Neuronal Signaling,1.1594450618484715,0.2783401228238974,0.0240708365868571
UCD-0017947,Apoptosis,1.2253459312827355,0.3269585018007122,0.0484103878062618
UCD-0017999,Endocrinology & Hormones,1.1201807276858815,0.150956774836054,0.0586908315595004
UCD-0018012,Apoptosis,1.0090104522053638,0.1981390935921537,0.0659248307466015
UCD-0018051,Metabolism,1.015744001835256,0.0385282986932251,0.0434629178783021
UCD-0018083,JAK/STAT,1.0372830519811418,0.444252461148839,0.2782978133066576
UCD-0018089,Endocrinology & Hormones,1.0882765081755497,0.2826016935910536,0.1895956571689957
UCD-0018131,Angiogenesis,1.282001539502423,0.5515942941924896,0.8
UCD-0018179,MAPK,1.12505411732588,0.5926534830574401,0.3214540701517414
UCD-0018183,Proteases,1.1353140125377894,0.2517452820084399,0.1996733408379518
UCD-0018207,Neuronal Signaling,1.751547557500702,0.5166676061894888,0.3776611399456226
UCD-0018240,PI3K/Akt/mTOR,1.0375563032514803,0.0910493778076797,0.019804014086564
UCD-0018304,Endocrinology & Hormones,0.998622800156173,0.0589010518464871,0.0357460201321606
UCD-0018311,Neuronal Signaling,1.0192381098392056,0.1001719937744595,0.0162298139841772
UCD-0018410,Metabolism,1.0101035199263793,0.1720851082223262,0.0317675317842132
UCD-0018439,Microbiology,1.233199826776473,0.464699486896829,0.0606324821519599
UCD-0018448,GPCR & G Protein,1.0622153119910251,0.3605581743333313,0.1324863146620361
UCD-0018458,Proteases,1.112296222381822,0.1487982287492571,0.140693112786766
UCD-0018483,Microbiology,1.012428010374168,0.209531612965269,0.0915824954309178
UCD-0018516,Neuronal Signaling,1.1047494901404191,0.1229855556590385,0.0971660049880852
UCD-0018527,Microbiology,1.0362930120155112,0.1547506868275787,0.0263093132675852
UCD-0018540,MAPK,1.3931390704443116,0.5333242546442619,0.286031944214333
UCD-0018550,Neuronal Signaling,1.0221394038727485,0.3452871890971719,0.24644777265745
UCD-0022022,Others,1.15631087441718,0.2104071861973802,0.053737847302877
UCD-0159253,Epigenetics,0.9264274596674732,0.2119220262881512,0.2843822843822844
UCD-0159256,Apoptosis,1.5691441755982247,0.4282993419288422,0.861111111111111
UCD-0159257,DNA Damage,1.077257954938324,0.2921325390053263,0.1355070269366923
UCD-0159258,Angiogenesis,0.9622554819442328,0.3201312825862475,0.400297619047619
UCD-0159259,PI3K/Akt/mTOR,1.0391121881614211,0.2851588735696325,0.694047619047619
UCD-0159261,Others,3.763401564063219,0.8275792455992131,0.363523976023976
UCD-0159262,Others,4.2779431153895455,0.2419392613494486,0.1082672041258813
UCD-0159263,Others,1.261774193351284,0.5719043272452566,0.2556029984585362
UCD-0159264,Neuronal Signaling,4.423646763496777,0.2045498361287834,0.0601851851851851
UCD-0159265,Neuronal Signaling,3.433504513128049,0.3086121651144072,0.0597402597402597
UCD-0159266,Others,1.2003561075642162,0.2433808717720097,0.1132431594032043
UCD-0159268,Others,1.2907907062912871,0.6206264044827954,0.2071435874067453
UCD-0159269,Others,2.2400449854595026,0.7237741396301528,0.7458333333333333
UCD-0159270,Others,1.1105064097190571,0.1003315302098823,0.0349656690728668
UCD-0159271,Others,1.0637889017449085,0.3107223260818524,0.1854822597416288
UCD-0159273,Others,1.028350429430398,0.1932369788100001,0.029004423905733
UCD-0159274,Others,0.9297517092341272,0.3476075467972724,0.3418062612877414
UCD-0159275,Others,1.736706485371848,0.4346713377824842,0.6594962785752259
UCD-0159276,Others,2.2080756738158773,0.3541666666666667,
UCD-0159277,Others,23.240289450776164,0.1166666666666666,
UCD-0159278,Others,1.100191871660055,0.3295058259916508,0.068105426369609
UCD-0159279,Others,1.739211086949583,0.0647015376777,0.053857279779493
UCD-0159280,Others,1.0657516855792075,0.0484761122103979,0.0294379086782088
UCD-0159282,Others,3.6676543163727455,0.475301037746028,0.1439273463712107
UCD-0159283,Endocrinology & Hormones,1.244182705424831,0.3483319376419745,0.3003527110669967
UCD-0159284,Stem Cells & Wnt,1.145325565079222,0.2190605968576002,0.0782504458542417
UCD-0159285,DNA Damage,1.0915572087543313,0.4358262113180772,0.2775736014891667
UCD-0159286,Others,3.108799997668501,0.0,
UCD-0159287,Endocrinology & Hormones,2.0495309525629453,0.4756433978969365,0.1837852823948582
UCD-0159288,Metabolism,1.0335443450274595,0.3096981104190778,0.0900293819657842
UCD-0159289,Metabolism,0.9960039438993832,0.0719685054034488,0.0292564489232399
UCD-0159290,PI3K/Akt/mTOR,1.7676416067810516,0.0403587443946188,
UCD-0159291,GPCR & G Protein,1.320429992454646,0.3738910413617808,0.0294544240600105
UCD-0159292,DNA Damage,1.4303661380041637,0.2734479271076821,0.0632741657036553
UCD-0159293,Others,1.0186566942303403,0.2971138744261918,0.5171143671143671
UCD-0159294,Cell Cycle,2.5973749477095613,0.7431801991634668,0.2807230681550101
UCD-0159295,Microbiology,1.13969658502708,0.4443738537271128,0.3447405994307522
UCD-0159296,Metabolism,1.1102617275098492,0.4182368773464129,0.3592981798832089
UCD-0159297,Microbiology,1.0369314443159316,0.2032920542121946,0.1458325673166526
UCD-0159299,Metabolism,1.32587032548452,0.1318038993446168,0.0198510706946935
UCD-0159300,GPCR & G Protein,0.9600511632212752,0.0984527155414992,0.0675013399260041
UCD-0159301,Cell Cycle,1.2529781705059957,0.4527894052433638,0.1165105166374141
UCD-0159302,PI3K/Akt/mTOR,1.1950548851675455,0.3528072064255108,0.115512199507728
UCD-0159303,Metabolism,1.0386783707346194,0.2187055303650509,0.1667910940966572
UCD-0159304,Cell Cycle,1.0525044136316966,0.3694838711830023,0.5058694083694084
UCD-0159306,Cell Cycle,1.204549832175784,0.3249461975708518,0.2292678554396379
UCD-0159307,GPCR & G Protein,2.368338773809602,0.3978550070089811,0.1641672402382121
UCD-0159308,Protein Tyrosine Kinase,6.92295191897226,0.3625895813251749,0.0200396825396825
UCD-0159309,Angiogenesis,1.0102815217899968,0.1592338660690586,0.0633310019730546
UCD-0159310,GPCR & G Protein,1.6965918061630203,0.6211389164127157,0.4067351493822082
UCD-0159311,GPCR & G Protein,0.990201754347802,0.2309312516339673,0.106255703123552
UCD-0159312,Transmembrane Transporters,1.0751297039299117,0.2179032085437275,0.1299034814875447
UCD-0159313,Protein Tyrosine Kinase,2.260804747038091,0.8021288178083983,0.1516890753167927
UCD-0159314,PI3K/Akt/mTOR,2.452234893683218,0.6583755919701605,0.0577956989247311
UCD-0159315,PI3K/Akt/mTOR,1.4507415268323498,0.6125706659701725,0.2820872842799379
UCD-0159316,Proteases,1.5143107394572428,0.3326379942677672,0.0419439746522272
UCD-0159317,Angiogenesis,1.136185674077342,0.4067302432920783,0.0652850905837702
UCD-0159319,Neuronal Signaling,1.0759971754161624,0.1404722739437336,0.0736687371690717
UCD-0159320,Metabolism,1.0392346665797827,0.1770646035147011,0.0938616319699323
UCD-0159321,Neuronal Signaling,1.0140209516329468,0.0892730416838794,0.0513094148317634
UCD-0159322,Endocrinology & Hormones,1.0359809025170097,0.2046055724398849,0.0461331809917085
UCD-0159323,Stem Cells & Wnt,2.627067652326214,0.4666076551869857,0.0549158413288023
UCD-0159324,Angiogenesis,1.0327390644601286,0.1562054135833328,0.0323207275860523
UCD-0159325,PI3K/Akt/mTOR,1.854988504624773,0.02803738317757,0.0288621465885552
UCD-0159326,Neuronal Signaling,1.1972050292099816,0.2584629925518733,0.1049607833362745
UCD-0159327,DNA Damage,1.0033085166435909,0.2403744509070643,0.1556295079618501
UCD-0159328,Proteases,11.027527432568624,0.0,
UCD-0159329,JAK/STAT,3.019737730307287,0.2047619047619047,
UCD-0159330,Protein Tyrosine Kinase,1.032845256370294,0.0843023056027867,0.0539446778156749
UCD-0159331,Transmembrane Transporters,1.3671444510044153,0.3212646128118307,0.1447187936112353
UCD-0159332,Apoptosis,1.3533673830216375,0.238650224902843,0.0823829916902672
UCD-0159333,Transmembrane Transporters,1.016927808941352,0.2985170408419657,0.0565186541328182
UCD-0159334,Metabolism,3.5358116344443444,0.5645596250272509,0.2951981246218995
UCD-0159335,JAK/STAT,1.6538635681182647,0.2760900140646976,0.0364450127877237
UCD-0159337,Neuronal Signaling,1.0479930705916738,0.2822020020996184,0.0547334678556406
UCD-0159338,Neuronal Signaling,1.0552941753671825,0.1403429208478839,0.0158073636783076
UCD-0159339,Neuronal Signaling,1.8507336536180492,0.5516056348512408,0.0730963738939614
UCD-0159341,Metabolism,1.0447828699807955,0.1481410757027731,0.0374259768912273
UCD-0159342,Others,1.0501830776409875,0.1885146920084539,0.0736963380441134
UCD-0159344,Endocrinology & Hormones,1.1877998164749335,0.2838985545209932,0.1030192350173249
UCD-0159345,Neuronal Signaling,1.0816952619936795,0.2151841069412328,0.0382800854456568
UCD-0159346,Stem Cells & Wnt,1.585522412118775,0.6757474059700633,0.1431032912416023
UCD-0159347,Metabolism,1.0928938425976362,0.4419691443446111,0.556447862015566
UCD-0159349,Metabolism,1.3782637546254846,0.3709541199713593,0.2604481188459516
UCD-0159350,Neuronal Signaling,1.0139604339806174,0.3704564382485336,0.1065400343747229
UCD-0159351,Others,1.0464646259536796,0.2229514619693109,0.0221398867307954
UCD-0159352,Proteases,1.6479134119440797,0.4854778388495718,0.825
UCD-0159353,Proteases,1.1087340986122205,0.2979703635614437,0.0854545186376641
UCD-0159354,Metabolism,1.0701731562195391,0.1989595490473613,0.3272606440751602
UCD-0159355,PI3K/Akt/mTOR,1.0717998284457069,0.4358166500348451,0.4487767542914602
UCD-0159356,Cytoskeletal Signaling,1.1009947103399176,0.2550715819307022,0.0505066104360373
UCD-0159357,Apoptosis,2.5810855886418973,0.0907692411471666,0.0666655108845778
UCD-0159358,Metabolism,1.0616042955322509,0.3124900288674079,0.1092958501006723
UCD-0159359,Others,1.075291588829673,0.1355288445766187,0.1000159919573703
UCD-0159360,Metabolism,1.288613525199479,0.3857144151668555,0.1180038711288711
UCD-0159361,Others,1.151292003360579,0.4407324847389504,0.0605914722202151
UCD-0159362,Stem Cells & Wnt,1.048347170578994,0.2142004901876498,0.0180223250162821
UCD-0159364,Others,1.0567452316219386,0.2506679627529276,0.0726396407312102
UCD-0159365,TGF-beta/Smad,1.3044899051106842,0.5734828104605938,0.6407407407407407
UCD-0159366,Metabolism,1.1387229366556737,0.3779042902785257,0.1890874686397074
UCD-0159367,Neuronal Signaling,1.0427912830968071,0.1453123928059685,0.209779065782454
UCD-0159369,Epigenetics,1.6278563981440792,0.7582619484654818,0.1726785469986811
UCD-0159370,PI3K/Akt/mTOR,1.116723283928574,0.4617696859596504,0.077535717196651
UCD-0159371,Apoptosis,2.5350559382997906,0.7869298892124682,0.5847162728159729
UCD-0159372,Protein Tyrosine Kinase,2.070356578143633,0.6270270270270271,
UCD-0159373,Angiogenesis,1.4973578226020952,0.489871574333791,0.1514410770853674
UCD-0159374,Endocrinology & Hormones,1.2540262941721194,0.3084933366780266,0.0860722858413082
UCD-0159375,NF-κB,1.3314479881742285,0.527353528702222,0.0316636043200875
UCD-0159376,Transmembrane Transporters,1.1736398005467583,0.4825337322423197,0.2469418837294408
UCD-0159377,Metabolism,1.023888523802616,0.3228620506268261,0.1223314660091654
UCD-0159378,Protein Tyrosine Kinase,1.1008207784734356,0.2632605297544738,0.0656411336671636
UCD-0159379,PI3K/Akt/mTOR,1.1343631723972407,0.4124640501477777,0.6201118326118326
UCD-0159380,GPCR & G Protein,0.9835706629274746,0.0839121148653352,0.0789550843705595
UCD-0159381,Neuronal Signaling,2.2719724008165296,0.4951374668486481,1.0
UCD-0159382,Neuronal Signaling,1.1041792190678643,0.0888584480771192,0.0457134920865583
UCD-0159383,NF-κB,1.1432528811361315,0.422934252049542,0.555028305028305
UCD-0159385,Metabolism,1.0670385257678916,0.1982007110961668,0.0304575485624523
UCD-0159386,DNA Damage,1.429485224240917,0.5787785952525046,0.7081569664902998
UCD-0159387,Neuronal Signaling,1.0513728832634872,0.1265736615184074,0.1226417372521603
UCD-0159389,Protein Tyrosine Kinase,3.5495713719403086,0.6540329768413794,0.4377960854095155
UCD-0159390,Neuronal Signaling,1.3553913222449707,0.4851121526401065,0.7708333333333333
UCD-0159391,Protein Tyrosine Kinase,1.191211827005802,0.5301363634051707,0.0681564200417923
UCD-0159392,Angiogenesis,2.1033438119553254,0.5658352229780801,0.0681818181818181
UCD-0159393,GPCR & G Protein,1.1089530931961813,0.2733446865025812,0.1074271845878283
UCD-0159394,TGF-beta/Smad,2.8237297739727607,0.8041007394860777,0.3808621933621933
UCD-0159395,GPCR & G Protein,1.0794961662254694,0.3061452088707727,0.0838407211750371
UCD-0159396,DNA Damage,1.087046309878771,0.3080790919606708,0.26053046605468
UCD-0159397,Others,1.1907121465602315,0.2841018143649722,0.0586773582798127
UCD-0159398,Protein Tyrosine Kinase,1.1821199995343443,0.3128320271504331,0.2673016798016798
UCD-0159399,Apoptosis,3.798995906677746,0.5203120234448555,0.0829836658010032
UCD-0159401,Angiogenesis,1.5039159417347616,0.6022985832509642,0.2478395061728394
UCD-0159402,GPCR & G Protein,1.2550520740911904,0.2823919762079396,0.0876685895464282
UCD-0159403,GPCR & G Protein,0.9895337725983931,0.2098559126754615,0.1040291149849029
UCD-0159404,Metabolism,1.2303894874976806,0.2441339918783527,0.0839018352900198
UCD-0159405,Metabolism,1.1330398416086802,0.2115789894455307,0.0184580993384005
UCD-0159406,Neuronal Signaling,0.9219938605170922,0.1646000057577032,0.0905857159369879
UCD-0159407,NF-κB,1.20046144335765,0.2078313193138194,0.1434286462005498
UCD-0159408,Neuronal Signaling,1.156807185965839,0.4464252970692865,0.1054459991523192
UCD-0159409,Others,0.9683274401791092,0.0187338719382902,0.0775452016598376
UCD-0159410,Neuronal Signaling,1.1889104419652223,0.2102305877261158,0.1247514538566866
UCD-0159411,Neuronal Signaling,0.9858807789179452,0.1278594838745214,0.0335682793827327
UCD-0159411B,Neuronal Signaling,1.252961666883134,0.1375634599318809,0.0780133367942404
UCD-0159412,Apoptosis,3.7746308739042886,0.0274725274725274,0.0267673301304049
UCD-0159413,NF-κB,0.951828558288948,0.0402865103314816,0.1280002045240048
UCD-0159414,DNA Damage,1.3844999936401745,0.5906088343943171,0.1265802397321122
UCD-0159416,Metabolism,1.0622723256453963,0.2378426224290885,0.8555555555555555
UCD-0159417,GPCR & G Protein,4.710699338961838,0.3895844107623556,0.5984848484848485
UCD-0159418,Transmembrane Transporters,1.0658944817795806,0.1476987072381809,0.0468092561547663
UCD-0159419,Protein Tyrosine Kinase,1.9341869838691903,0.0428571428571428,0.0817307692307692
UCD-0159420,Angiogenesis,1.546373664649558,0.5381103667287878,0.2418925056639246
UCD-0159421,Apoptosis,1.245851634119698,0.2050354528251656,0.1496659454380042
UCD-0159422,Apoptosis,1.2233388083934384,0.3941590122894684,0.168544267613534
UCD-0159423,PI3K/Akt/mTOR,1.7428470223987889,0.6099712681157733,0.2872043415521676
UCD-0159425,Apoptosis,1.946032455518432,0.1447215923406399,0.1485690235690235
UCD-0159426,DNA Damage,1.0846269677180325,0.1462610854058222,0.0354264616864104
UCD-0159428,Apoptosis,1.1711457359708262,0.2504296072905095,0.048525739022212
UCD-0159429,Stem Cells & Wnt,1.2838727672403087,0.2229007694457994,0.3184193121693122
UCD-0159431,PI3K/Akt/mTOR,1.5243476662917967,0.3818835804308423,0.1697237253487253
UCD-0159432,Angiogenesis,1.167410510101738,0.5433161849985159,0.4105121594092182
UCD-0159433,Protein Tyrosine Kinase,1.0299684608660444,0.3606998456152591,0.0871698289461447
UCD-0159434,Angiogenesis,1.1277543805004966,0.0789495353284818,0.0586099490504357
UCD-0159435,Protein Tyrosine Kinase,3.271080880727406,0.2522095912068057,0.0416666666666666
UCD-0159436,Stem Cells & Wnt,1.0864451145980722,0.1433546338177573,0.0732457157786306
UCD-0159437,Cytoskeletal Signaling,3.2396552113879853,0.1216931216931216,0.0240995762711864
UCD-0159438,Cytoskeletal Signaling,1.861681030184985,0.1793774921124544,0.1983360954102547
UCD-0159439,PI3K/Akt/mTOR,5.050547611524856,0.7078505750028306,0.464015210863037
UCD-0159441,Metabolism,1.1232350072473485,0.3267938810701968,0.055815253216569
UCD-0159442,Epigenetics,0.933344627478466,0.0610825734119381,0.0550776092103351
UCD-0159443,Others,0.9101969612683944,0.085561030700811,0.0582230557815835
UCD-0159444,MAPK,1.0445381785481915,0.3054525567021686,0.2046964468703599
UCD-0159445,Others,3.14471860272696,0.1165413533834586,
UCD-0159447,Ubiquitin,1.4152923677736169,0.4420787558593065,0.9513888888888888
UCD-0159449,Ubiquitin,1.100580037497064,0.1823198081298281,0.2671353276353276
UCD-0159451,Ubiquitin,1.5507291715707725,0.2913533834586466,0.0456043956043956
UCD-0159453,TGF-beta/Smad,1.0698101478803057,0.0547748695826925,0.1721792874200994
UCD-0159455,TGF-beta/Smad,1.7771316492848126,0.556393258106742,1.0
UCD-0159456,Apoptosis,1.2036894582628208,0.3713936755508265,0.7555555555555555
UCD-0159457,Proteases,1.0527495147612247,0.2252205901435133,0.3603300913645741
UCD-0159458,Others,1.0238401353405362,0.2284614645395393,0.1001038364251083
UCD-0159459,Cytoskeletal Signaling,1.1357055442969766,0.3222322305045252,0.5306216931216932
UCD-0159460,Angiogenesis,0.9868110176410352,0.1380933425367801,0.1962856770251136
UCD-0159461,Angiogenesis,1.83501678573949,0.0245098039215686,
UCD-0159462,GPCR & G Protein,1.1457934281456208,0.5593687743722983,0.7444444444444445
UCD-0159464,Metabolism,1.0775876780517828,0.2051555376776615,0.1680431020504549
