Metadata_treatment,Pathway,mean_score,median_score,score_std,n_scored_cells,n_score_plates,mean_cell_count,median_cell_count,mean_relative_cell_count,median_relative_cell_count,viability_std,n_treatment_wells,n_viability_plates,mean_average_precision,mean_normalized_average_precision,corrected_p_value,-log10(p-value)
UCD-0000253,Neuronal Signaling,0.5946240388937591,0.67135522053328,0.3635584346907532,715.0,4.0,178.75,176.0,0.8598445034002572,0.8251100594320933,0.179958158827116,4.0,4.0,1.0,1.0,0.0027641070585855,2.5584451400053156
UCD-0000872,Metabolism,0.9998329973107045,0.9999999998267397,0.0006975883728004919,36.0,4.0,9.0,9.0,0.04444057369927129,0.041354831609068894,0.041631884342622855,4.0,4.0,1.0,1.0,0.0027641070585855,2.5584451400053156
UCD-0159319,Neuronal Signaling,0.8377864176403528,0.988373441112163,0.24978526636445256,597.0,4.0,149.25,153.0,0.715468268127947,0.7470944309927361,0.11634083020969692,4.0,4.0,1.0,1.0,0.0027641070585855,2.5584451400053156
UCD-0000730,Metabolism,0.9841768858708694,0.9999999992797852,0.11396853121391672,316.0,4.0,79.0,88.5,0.3896266880606756,0.412376183138895,0.2805011564864142,4.0,4.0,1.0,1.0,0.0027641070585855,2.5584451400053156
UCD-0018569,Endocrinology & Hormones,,,,,,,,,,,,,,,,
UCD-0159328,Proteases,0.9999966473643804,0.9999966473643804,,1.0,1.0,1.0,1.0,0.004842615012106538,0.004842615012106538,,1.0,1.0,,,,
UCD-0159298,Cytoskeletal Signaling,,,,,,,,,,,,,,,,
UCD-0159304,Cell Cycle,0.8505142682539163,0.9935453077665981,0.2589444583667887,641.0,4.0,160.25,166.0,0.7554993975694243,0.7772328548644338,0.15093577684784237,4.0,4.0,1.0,1.0,0.0027641070585855,2.5584451400053156
UCD-0159308,Protein Tyrosine Kinase,0.6896773445900586,0.7612804043648753,0.297516692071834,29.0,2.0,14.5,14.5,0.07693939393939395,0.07693939393939395,0.10238049092452499,2.0,2.0,1.0,1.0,0.0027641070585855,2.5584451400053156
UCD-0018012,Apoptosis,0.6257003314787246,0.7311228371225216,0.3564516605527216,702.0,4.0,175.5,173.0,0.8347584369243601,0.8205789473684211,0.12814239576969902,4.0,4.0,1.0,1.0,0.0027641070585855,2.5584451400053156
