Pathway,Metadata_treatment,mean_score,median_score,score_std,n_scored_cells,n_score_plates,mean_cell_count,median_cell_count,mean_relative_cell_count,median_relative_cell_count,viability_std,n_treatment_wells,n_viability_plates
Angiogenesis,UCD-0001759,0.7154126099122802,0.8307579352815706,0.3092552689559335,198,4,49.5,54.5,0.25166739692796325,0.28355577940065474,0.076023125257957,4,4
Angiogenesis,UCD-0001766,0.9602947371687784,0.999244621058888,0.10955179249533108,111,4,27.75,25.5,0.13001967041505463,0.11258322879475055,0.06597703609966805,4,4
Angiogenesis,UCD-0001856,0.3079330289733557,0.19758195454101393,0.3097849592069099,990,4,247.5,244.0,1.2332661745509819,1.277972027972028,0.24593212593490793,4,4
Angiogenesis,UCD-0001861,0.3994782126343048,0.33595507894945115,0.33327284977980565,439,4,109.75,111.0,0.535007226099393,0.5178540305010894,0.07147297000264194,4,4
Angiogenesis,UCD-0001863,0.9838102318424772,0.9997371438330593,0.0677100257809675,636,4,159.0,191.5,0.8028991346331802,1.0247230944411856,0.4870891266994304,4,4
Angiogenesis,UCD-0001864,0.10578105670270746,0.10578105670270746,0.1495967652880162,2,1,2.0,2.0,0.010075566750629723,0.010075566750629723,,1,1
Angiogenesis,UCD-0001870,1.9258863219054208e-19,1.9258863219054208e-19,,1,1,1.0,1.0,0.004807692307692308,0.004807692307692308,,1,1
Angiogenesis,UCD-0018131,0.3514311302432795,0.283883608250358,0.3064735275346207,654,4,163.5,158.0,0.7608150825311834,0.7832242043488873,0.09129335620033861,4,4
Angiogenesis,UCD-0159258,0.7088779000536966,0.8168720267811016,0.28841099936381887,678,4,169.5,181.0,0.786427221686658,0.8221653961208144,0.1309939684164963,4,4
Angiogenesis,UCD-0159309,0.32051606751801515,0.11249350661476527,0.3800066882360125,748,4,187.0,178.0,0.8933921494800174,0.8617017543859649,0.163611943554298,4,4
Angiogenesis,UCD-0159317,0.36893404412788994,0.24563601650740507,0.346184022619783,654,4,163.5,152.5,0.8240821761353613,0.7665736672620367,0.20691858508686914,4,4
Angiogenesis,UCD-0159324,0.06015506517084141,8.873195722487688e-05,0.1701255546052569,772,4,193.0,192.5,0.9253509080868582,0.9192472707191708,0.14702164276637134,4,4
Angiogenesis,UCD-0159373,0.24686517310164766,0.10615108512297466,0.28886470881495185,257,4,64.25,59.5,0.331562771734781,0.28725141759543604,0.17353905005903442,4,4
Angiogenesis,UCD-0159392,0.9618056496327427,0.999064112672383,0.08729225923982929,220,2,110.0,110.0,0.5009260704437855,0.5009260704437855,0.05722043012629706,2,2
Angiogenesis,UCD-0159401,0.17652204836032276,0.09160565563108694,0.20662724865542162,638,3,212.66666666666666,243.0,0.9931039634801145,1.130232558139535,0.30738150732826414,3,3
Angiogenesis,UCD-0159420,0.015188009701189494,5.709009504320041e-05,0.06727391758889968,527,4,131.75,107.5,0.6222103376460448,0.5218551023920152,0.35873701214910253,4,4
Angiogenesis,UCD-0159432,0.8501228265303685,0.9612323035551458,0.22198702910955567,881,4,220.25,233.5,1.0397265975499117,1.0924285865987047,0.18569843026781704,4,4
Angiogenesis,UCD-0159434,0.7739503151986251,0.9224405905671382,0.2805382568354016,452,4,113.0,114.5,0.6365562476510445,0.6108452950558214,0.10619550725414974,4,4
Angiogenesis,UCD-0159460,0.4971101724767224,0.4854246067825251,0.34413600146163714,826,4,206.5,206.0,1.1696653152884449,1.1279850187265916,0.21456528956293536,4,4
Angiogenesis,UCD-0159461,0.013746554501021215,0.00245469840991945,0.030919832122435972,7,1,7.0,7.0,0.03349282296650718,0.03349282296650718,,1,1
Angiogenesis,UCD-0159544,0.999877286979439,0.9999996801609635,0.0006739810922892575,181,2,90.5,90.5,0.6045207956600362,0.6045207956600362,0.06700252320827318,2,2
Angiogenesis,UCD-0159554,0.5739261646175711,0.5780673657229214,0.2902897665056452,525,4,131.25,139.0,0.9880846922959798,0.9719382835101253,0.27846571415583576,4,4
Angiogenesis,UCD-0159563,0.37399050487094077,0.31394279937818215,0.2917164433942447,382,4,95.5,89.5,0.7347193808830361,0.7006991321118612,0.28109348237515436,4,4
Angiogenesis,UCD-0159586,0.6440841114277751,0.7092852715820189,0.28267059990673155,461,4,115.25,109.0,0.8714315274128501,0.7918032786885245,0.26526976729407364,4,4
Angiogenesis,UCD-0159602,0.9612790397537415,0.9950161744965573,0.0904878813542986,422,4,105.5,119.0,0.8345010446246188,0.815883190883191,0.26764816513198497,4,4
