,Metadata_Well,cell_type,treatment,platemap_file,Metadata_Plate,platemap_num,Pathway
4,B03,failing,UCD-0000253,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Neuronal Signaling
5,B03,failing,UCD-0000253,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Neuronal Signaling
6,B03,failing,UCD-0000253,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Neuronal Signaling
7,B03,failing,UCD-0000253,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Neuronal Signaling
8,B04,failing,UCD-0000872,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Metabolism
9,B04,failing,UCD-0000872,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Metabolism
10,B04,failing,UCD-0000872,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Metabolism
11,B04,failing,UCD-0000872,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Metabolism
16,B06,failing,UCD-0159319,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Neuronal Signaling
17,B06,failing,UCD-0159319,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Neuronal Signaling
18,B06,failing,UCD-0159319,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Neuronal Signaling
19,B06,failing,UCD-0159319,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Neuronal Signaling
20,B07,failing,UCD-0000730,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Metabolism
21,B07,failing,UCD-0000730,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Metabolism
22,B07,failing,UCD-0000730,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Metabolism
23,B07,failing,UCD-0000730,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Metabolism
28,B09,failing,UCD-0018569,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Endocrinology & Hormones
29,B09,failing,UCD-0018569,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Endocrinology & Hormones
30,B09,failing,UCD-0018569,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Endocrinology & Hormones
31,B09,failing,UCD-0018569,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Endocrinology & Hormones
32,B10,failing,UCD-0159328,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Proteases
33,B10,failing,UCD-0159328,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Proteases
34,B10,failing,UCD-0159328,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Proteases
35,B10,failing,UCD-0159328,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Proteases
40,C02,failing,UCD-0159298,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Cytoskeletal Signaling
41,C02,failing,UCD-0159298,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Cytoskeletal Signaling
42,C02,failing,UCD-0159298,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Cytoskeletal Signaling
43,C02,failing,UCD-0159298,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Cytoskeletal Signaling
44,C03,failing,UCD-0159304,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Cell Cycle
45,C03,failing,UCD-0159304,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Cell Cycle
46,C03,failing,UCD-0159304,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Cell Cycle
47,C03,failing,UCD-0159304,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Cell Cycle
48,C04,failing,UCD-0159308,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Protein Tyrosine Kinase
49,C04,failing,UCD-0159308,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Protein Tyrosine Kinase
50,C04,failing,UCD-0159308,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Protein Tyrosine Kinase
51,C04,failing,UCD-0159308,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Protein Tyrosine Kinase
52,C05,failing,UCD-0018012,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Apoptosis
53,C05,failing,UCD-0018012,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Apoptosis
54,C05,failing,UCD-0018012,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Apoptosis
55,C05,failing,UCD-0018012,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Apoptosis
56,C06,failing,UCD-0001162,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Endocrinology & Hormones
57,C06,failing,UCD-0001162,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Endocrinology & Hormones
58,C06,failing,UCD-0001162,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Endocrinology & Hormones
59,C06,failing,UCD-0001162,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Endocrinology & Hormones
60,C07,failing,UCD-0001305,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Neuronal Signaling
61,C07,failing,UCD-0001305,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Neuronal Signaling
62,C07,failing,UCD-0001305,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Neuronal Signaling
63,C07,failing,UCD-0001305,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Neuronal Signaling
64,C08,failing,UCD-0018311,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Neuronal Signaling
65,C08,failing,UCD-0018311,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251203170001,3,Neuronal Signaling
66,C08,failing,UCD-0018311,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251208160001,3,Neuronal Signaling
67,C08,failing,UCD-0018311,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251210180001,3,Neuronal Signaling
68,C09,failing,UCD-0001441,Target_Selective_Library_Screen_Plate_3_with_pathways,CARD-CelIns-CX7_251205100001,3,Neuronal Signaling
