Feature,Coefficient,Model
Cytoplasm_AreaShape_Area,0.0,localhost240928120001
Cytoplasm_AreaShape_BoundingBoxArea,0.0,localhost240928120001
Cytoplasm_AreaShape_MajorAxisLength,0.0,localhost240928120001
Cytoplasm_AreaShape_MaximumRadius,0.0,localhost240928120001
Cytoplasm_AreaShape_MinorAxisLength,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_4_0,-0.04504289119724864,localhost240928120001
Cytoplasm_AreaShape_Zernike_5_1,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_6_0,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_6_2,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_6_4,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_7_1,-0.07754574585450534,localhost240928120001
Cytoplasm_AreaShape_Zernike_7_3,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_7_5,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_7_7,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_8_0,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_8_2,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_8_4,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_9_1,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_9_3,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_9_5,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_9_7,0.0,localhost240928120001
Cytoplasm_AreaShape_Zernike_9_9,0.0,localhost240928120001
Cytoplasm_Correlation_Correlation_ER_Hoechst,0.0,localhost240928120001
Cytoplasm_Correlation_Correlation_ER_PM,0.0,localhost240928120001
Cytoplasm_Correlation_Correlation_Hoechst_Mitochondria,0.0,localhost240928120001
Cytoplasm_Correlation_Correlation_Hoechst_PM,0.0,localhost240928120001
Cytoplasm_Correlation_Correlation_Mitochondria_PM,0.0,localhost240928120001
Cytoplasm_Correlation_Costes_Actin_Hoechst,0.29035354182375916,localhost240928120001
Cytoplasm_Correlation_Costes_Hoechst_PM,0.0,localhost240928120001
Cytoplasm_Correlation_Costes_Mitochondria_Hoechst,0.0,localhost240928120001
Cytoplasm_Correlation_K_Actin_Mitochondria,0.0,localhost240928120001
Cytoplasm_Correlation_K_ER_PM,0.0,localhost240928120001
Cytoplasm_Correlation_K_PM_ER,0.0,localhost240928120001
Cytoplasm_Correlation_Manders_Actin_ER,0.0,localhost240928120001
Cytoplasm_Correlation_Manders_ER_Hoechst,0.0,localhost240928120001
Cytoplasm_Correlation_Manders_ER_Mitochondria,0.0,localhost240928120001
Cytoplasm_Correlation_Manders_Hoechst_ER,0.13963711233562714,localhost240928120001
Cytoplasm_Correlation_Manders_Hoechst_Mitochondria,0.0,localhost240928120001
Cytoplasm_Correlation_Manders_Mitochondria_Hoechst,0.0,localhost240928120001
Cytoplasm_Correlation_Overlap_Actin_Mitochondria,0.0,localhost240928120001
Cytoplasm_Correlation_Overlap_ER_PM,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_Actin_Mitochondria,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_Actin_PM,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_ER_PM,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_Hoechst_Mitochondria,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_Hoechst_PM,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_Mitochondria_ER,0.028377256331094107,localhost240928120001
Cytoplasm_Correlation_RWC_Mitochondria_Hoechst,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_Mitochondria_PM,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_PM_ER,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_PM_Hoechst,0.0,localhost240928120001
Cytoplasm_Correlation_RWC_PM_Mitochondria,0.0,localhost240928120001
Cytoplasm_Granularity_1_Hoechst,0.0,localhost240928120001
Cytoplasm_Granularity_1_Mitochondria,0.0,localhost240928120001
Cytoplasm_Granularity_1_PM,0.0,localhost240928120001
Cytoplasm_Granularity_2_Actin,0.09905323963010493,localhost240928120001
Cytoplasm_Granularity_2_ER,0.0,localhost240928120001
Cytoplasm_Granularity_2_Hoechst,0.0,localhost240928120001
Cytoplasm_Granularity_2_Mitochondria,0.0,localhost240928120001
Cytoplasm_Granularity_2_PM,0.0,localhost240928120001
Cytoplasm_Intensity_IntegratedIntensityEdge_Mitochondria,0.0,localhost240928120001
Cytoplasm_Intensity_IntegratedIntensity_ER,0.026842681795588918,localhost240928120001
Cytoplasm_Intensity_IntegratedIntensity_Hoechst,0.0,localhost240928120001
Cytoplasm_Intensity_IntegratedIntensity_Mitochondria,0.0,localhost240928120001
Cytoplasm_Intensity_IntegratedIntensity_PM,0.0,localhost240928120001
Cytoplasm_Intensity_LowerQuartileIntensity_Actin,0.27429074244465923,localhost240928120001
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.0,localhost240928120001
Cytoplasm_Intensity_LowerQuartileIntensity_Hoechst,0.0,localhost240928120001
