WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
B,2,B02,7,healthy,NA,DMSO
B,3,B03,19,failing,dilated_cardiomyopathy,S2899
B,4,B04,19,failing,dilated_cardiomyopathy,S2927
B,5,B05,7,healthy,NA,DMSO
B,6,B06,19,failing,dilated_cardiomyopathy,S3051
B,7,B07,19,failing,dilated_cardiomyopathy,S4076
B,8,B08,7,healthy,NA,DMSO
B,9,B09,19,failing,dilated_cardiomyopathy,S4289
B,10,B10,19,failing,dilated_cardiomyopathy,S4661
B,11,B11,7,healthy,NA,DMSO
C,2,C02,19,failing,dilated_cardiomyopathy,S4926
C,3,C03,19,failing,dilated_cardiomyopathy,S7024
C,4,C04,19,failing,dilated_cardiomyopathy,S7051
C,5,C05,19,failing,dilated_cardiomyopathy,S7093
C,6,C06,19,failing,dilated_cardiomyopathy,S2906
C,7,C07,19,failing,dilated_cardiomyopathy,S2930
C,8,C08,19,failing,dilated_cardiomyopathy,S3147
C,9,C09,19,failing,dilated_cardiomyopathy,S4079
C,10,C10,19,failing,dilated_cardiomyopathy,S4610
C,11,C11,19,failing,dilated_cardiomyopathy,S4675
D,2,D02,19,failing,dilated_cardiomyopathy,S5002
D,3,D03,19,failing,dilated_cardiomyopathy,S7025
D,4,D04,19,failing,dilated_cardiomyopathy,S7067
D,5,D05,19,failing,dilated_cardiomyopathy,S7097
D,6,D06,19,failing,dilated_cardiomyopathy,S2911
D,7,D07,19,failing,dilated_cardiomyopathy,S3002
D,8,D08,19,failing,dilated_cardiomyopathy,S3151
D,9,D09,19,failing,dilated_cardiomyopathy,S4080
D,10,D10,19,failing,dilated_cardiomyopathy,S4618
D,11,D11,19,failing,dilated_cardiomyopathy,S4679
E,2,E02,19,failing,dilated_cardiomyopathy,DMSO
E,3,E03,19,failing,dilated_cardiomyopathy,S6003
E,4,E04,19,failing,dilated_cardiomyopathy,S7029
E,5,E05,19,failing,dilated_cardiomyopathy,DMSO
E,6,E06,19,failing,dilated_cardiomyopathy,S7070
E,7,E07,19,failing,dilated_cardiomyopathy,S7102
E,8,E08,19,failing,dilated_cardiomyopathy,DMSO
E,9,E09,19,failing,dilated_cardiomyopathy,S2912
E,10,E10,19,failing,dilated_cardiomyopathy,S3021
E,11,E11,19,failing,dilated_cardiomyopathy,DMSO
F,2,F02,19,failing,dilated_cardiomyopathy,S3178
F,3,F03,19,failing,dilated_cardiomyopathy,S4091
F,4,F04,19,failing,dilated_cardiomyopathy,S4629
F,5,F05,19,failing,dilated_cardiomyopathy,S4697
F,6,F06,19,failing,dilated_cardiomyopathy,S7000
F,7,F07,19,failing,dilated_cardiomyopathy,S7030
F,8,F08,19,failing,dilated_cardiomyopathy,S7076
F,9,F09,19,failing,dilated_cardiomyopathy,S7106
F,10,F10,19,failing,dilated_cardiomyopathy,S2915
F,11,F11,19,failing,dilated_cardiomyopathy,S3026
G,2,G02,19,failing,dilated_cardiomyopathy,S3212
G,3,G03,19,failing,dilated_cardiomyopathy,S4246
G,4,G04,19,failing,dilated_cardiomyopathy,S4635
G,5,G05,19,failing,dilated_cardiomyopathy,S4900
G,6,G06,19,failing,dilated_cardiomyopathy,S7008
G,7,G07,19,failing,dilated_cardiomyopathy,S7033
G,8,G08,19,failing,dilated_cardiomyopathy,S7079
G,9,G09,19,failing,dilated_cardiomyopathy,S7111
G,10,G10,19,failing,dilated_cardiomyopathy,S2916
G,11,G11,19,failing,dilated_cardiomyopathy,S3031
