WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
B,2,B02,7,healthy,NA,DMSO
B,3,B03,19,failing,dilated_cardiomyopathy,S4009
B,4,B04,19,failing,dilated_cardiomyopathy,S4259
B,5,B05,7,healthy,NA,DMSO
B,6,B06,19,failing,dilated_cardiomyopathy,S4640
B,7,B07,19,failing,dilated_cardiomyopathy,S4907
B,8,B08,7,healthy,NA,DMSO
B,9,B09,19,failing,dilated_cardiomyopathy,S7010
B,10,B10,19,failing,dilated_cardiomyopathy,S7037
B,11,B11,7,healthy,NA,DMSO
C,2,C02,19,failing,dilated_cardiomyopathy,S7080
C,3,C03,19,failing,dilated_cardiomyopathy,S7113
C,4,C04,19,failing,dilated_cardiomyopathy,S7115
C,5,C05,19,failing,dilated_cardiomyopathy,S7140
C,6,C06,19,failing,dilated_cardiomyopathy,S7161
C,7,C07,19,failing,dilated_cardiomyopathy,S7195
C,8,C08,19,failing,dilated_cardiomyopathy,S7238
C,9,C09,19,failing,dilated_cardiomyopathy,S7257
C,10,C10,19,failing,dilated_cardiomyopathy,S7285
C,11,C11,19,failing,dilated_cardiomyopathy,S7318
D,2,D02,19,failing,dilated_cardiomyopathy,S7351
D,3,D03,19,failing,dilated_cardiomyopathy,S7372
D,4,D04,19,failing,dilated_cardiomyopathy,S7121
D,5,D05,19,failing,dilated_cardiomyopathy,S7142
D,6,D06,19,failing,dilated_cardiomyopathy,S7162
D,7,D07,19,failing,dilated_cardiomyopathy,S7199
D,8,D08,19,failing,dilated_cardiomyopathy,S7241
D,9,D09,19,failing,dilated_cardiomyopathy,S7263
D,10,D10,19,failing,dilated_cardiomyopathy,S7289
D,11,D11,19,failing,dilated_cardiomyopathy,S7319
E,2,E02,19,failing,dilated_cardiomyopathy,DMSO
E,3,E03,19,failing,dilated_cardiomyopathy,S7355
E,4,E04,19,failing,dilated_cardiomyopathy,S7373
E,5,E05,19,failing,dilated_cardiomyopathy,DMSO
E,6,E06,19,failing,dilated_cardiomyopathy,S7124
E,7,E07,19,failing,dilated_cardiomyopathy,S7146
E,8,E08,19,failing,dilated_cardiomyopathy,DMSO
E,9,E09,19,failing,dilated_cardiomyopathy,S7167
E,10,E10,19,failing,dilated_cardiomyopathy,S7205
E,11,E11,19,failing,dilated_cardiomyopathy,DMSO
F,2,F02,19,failing,dilated_cardiomyopathy,S7242
F,3,F03,19,failing,dilated_cardiomyopathy,S7265
F,4,F04,19,failing,dilated_cardiomyopathy,S7293
F,5,F05,19,failing,dilated_cardiomyopathy,S7324
F,6,F06,19,failing,dilated_cardiomyopathy,S7360
F,7,F07,19,failing,dilated_cardiomyopathy,S7379
F,8,F08,19,failing,dilated_cardiomyopathy,S7125
F,9,F09,19,failing,dilated_cardiomyopathy,S7147
F,10,F10,19,failing,dilated_cardiomyopathy,S7173
F,11,F11,19,failing,dilated_cardiomyopathy,S7206
G,2,G02,19,failing,dilated_cardiomyopathy,S7243
G,3,G03,19,failing,dilated_cardiomyopathy,S7266
G,4,G04,19,failing,dilated_cardiomyopathy,S7296
G,5,G05,19,failing,dilated_cardiomyopathy,S7330
G,6,G06,19,failing,dilated_cardiomyopathy,S7364
G,7,G07,19,failing,dilated_cardiomyopathy,S7392
G,8,G08,19,failing,dilated_cardiomyopathy,S7129
G,9,G09,19,failing,dilated_cardiomyopathy,S7148
G,10,G10,19,failing,dilated_cardiomyopathy,S7174
G,11,G11,19,failing,dilated_cardiomyopathy,S7215
