WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
A,1,A01,7,Healthy,NA,DMSO
A,2,A02,19,Failing,Dilated_Cardiomyopathy,UCD-0159598
A,3,A03,19,Failing,Dilated_Cardiomyopathy,UCD-0159605
A,4,A04,19,Failing,Dilated_Cardiomyopathy,UCD-0159612
A,5,A05,19,Failing,Dilated_Cardiomyopathy,UCD-0159620
A,6,A06,19,Failing,Dilated_Cardiomyopathy,UCD-0159628
A,7,A07,19,Failing,Dilated_Cardiomyopathy,UCD-0159636
A,8,A08,19,Failing,Dilated_Cardiomyopathy,UCD-0159644
A,9,A09,19,Failing,Dilated_Cardiomyopathy,UCD-0159650
A,10,A10,19,Failing,Dilated_Cardiomyopathy,UCD-0159658
A,12,A12,19,Failing,Dilated_Cardiomyopathy,DMSO
B,1,B01,7,Healthy,NA,DMSO
B,2,B02,19,Failing,Dilated_Cardiomyopathy,UCD-0159599
B,3,B03,19,Failing,Dilated_Cardiomyopathy,UCD-0159606
B,4,B04,19,Failing,Dilated_Cardiomyopathy,UCD-0159613
B,5,B05,19,Failing,Dilated_Cardiomyopathy,UCD-0159621
B,6,B06,19,Failing,Dilated_Cardiomyopathy,UCD-0159629
B,7,B07,19,Failing,Dilated_Cardiomyopathy,UCD-0159637
B,8,B08,19,Failing,Dilated_Cardiomyopathy,UCD-0159645
B,9,B09,19,Failing,Dilated_Cardiomyopathy,UCD-0159651
B,10,B10,19,Failing,Dilated_Cardiomyopathy,UCD-0159659
B,12,B12,19,Failing,Dilated_Cardiomyopathy,DMSO
C,1,C01,7,Healthy,NA,DMSO
C,2,C02,19,Failing,Dilated_Cardiomyopathy,UCD-0159666
C,3,C03,19,Failing,Dilated_Cardiomyopathy,UCD-0159607
C,4,C04,19,Failing,Dilated_Cardiomyopathy,UCD-0159614
C,5,C05,19,Failing,Dilated_Cardiomyopathy,UCD-0159622
C,6,C06,19,Failing,Dilated_Cardiomyopathy,UCD-0159630
C,7,C07,19,Failing,Dilated_Cardiomyopathy,UCD-0159638
C,8,C08,19,Failing,Dilated_Cardiomyopathy,UCD-0159646
C,9,C09,19,Failing,Dilated_Cardiomyopathy,UCD-0159652
C,10,C10,19,Failing,Dilated_Cardiomyopathy,UCD-0159660
C,12,C12,19,Failing,Dilated_Cardiomyopathy,DMSO
D,1,D01,7,Healthy,NA,DMSO
D,2,D02,19,Failing,Dilated_Cardiomyopathy,UCD-0159600
D,3,D03,19,Failing,Dilated_Cardiomyopathy,UCD-0001957
D,4,D04,19,Failing,Dilated_Cardiomyopathy,UCD-0159615
D,5,D05,19,Failing,Dilated_Cardiomyopathy,UCD-0159623
D,6,D06,19,Failing,Dilated_Cardiomyopathy,UCD-0159631
D,7,D07,19,Failing,Dilated_Cardiomyopathy,UCD-0159639
D,8,D08,19,Failing,Dilated_Cardiomyopathy,UCD-0159647
D,9,D09,19,Failing,Dilated_Cardiomyopathy,UCD-0159653
D,10,D10,19,Failing,Dilated_Cardiomyopathy,UCD-0159661
D,12,D12,19,Failing,Dilated_Cardiomyopathy,DMSO
E,1,E01,7,Healthy,NA,DMSO
E,2,E02,19,Failing,Dilated_Cardiomyopathy,UCD-0159601
E,3,E03,19,Failing,Dilated_Cardiomyopathy,UCD-0159608
E,4,E04,19,Failing,Dilated_Cardiomyopathy,UCD-0159616
E,5,E05,19,Failing,Dilated_Cardiomyopathy,UCD-0159624
E,6,E06,19,Failing,Dilated_Cardiomyopathy,UCD-0159632
E,7,E07,19,Failing,Dilated_Cardiomyopathy,UCD-0159640
E,8,E08,19,Failing,Dilated_Cardiomyopathy,UCD-0001952
E,9,E09,19,Failing,Dilated_Cardiomyopathy,UCD-0159654
E,10,E10,19,Failing,Dilated_Cardiomyopathy,UCD-0159662
E,12,E12,19,Failing,Dilated_Cardiomyopathy,DMSO
F,1,F01,7,Healthy,NA,DMSO
F,2,F02,19,Failing,Dilated_Cardiomyopathy,UCD-0159602
F,3,F03,19,Failing,Dilated_Cardiomyopathy,UCD-0159609
F,4,F04,19,Failing,Dilated_Cardiomyopathy,UCD-0159617
F,5,F05,19,Failing,Dilated_Cardiomyopathy,UCD-0159625
F,6,F06,19,Failing,Dilated_Cardiomyopathy,UCD-0159633
F,7,F07,19,Failing,Dilated_Cardiomyopathy,UCD-0159641
F,8,F08,19,Failing,Dilated_Cardiomyopathy,UCD-0001953
F,9,F09,19,Failing,Dilated_Cardiomyopathy,UCD-0159655
F,10,F10,19,Failing,Dilated_Cardiomyopathy,UCD-0159663
F,12,F12,19,Failing,Dilated_Cardiomyopathy,DMSO
G,1,G01,7,Healthy,NA,DMSO
G,2,G02,19,Failing,Dilated_Cardiomyopathy,UCD-0159603
G,3,G03,19,Failing,Dilated_Cardiomyopathy,UCD-0159610
G,4,G04,19,Failing,Dilated_Cardiomyopathy,UCD-0159618
G,5,G05,19,Failing,Dilated_Cardiomyopathy,UCD-0159626
G,6,G06,19,Failing,Dilated_Cardiomyopathy,UCD-0159634
G,7,G07,19,Failing,Dilated_Cardiomyopathy,UCD-0159642
G,8,G08,19,Failing,Dilated_Cardiomyopathy,UCD-0159648
G,9,G09,19,Failing,Dilated_Cardiomyopathy,UCD-0159656
G,12,G12,19,Failing,Dilated_Cardiomyopathy,DMSO
H,1,H01,7,Healthy,NA,DMSO
H,2,H02,19,Failing,Dilated_Cardiomyopathy,UCD-0159604
H,3,H03,19,Failing,Dilated_Cardiomyopathy,UCD-0159611
H,4,H04,19,Failing,Dilated_Cardiomyopathy,UCD-0159619
H,5,H05,19,Failing,Dilated_Cardiomyopathy,UCD-0159627
H,6,H06,19,Failing,Dilated_Cardiomyopathy,UCD-0159635
H,7,H07,19,Failing,Dilated_Cardiomyopathy,UCD-0159643
H,8,H08,19,Failing,Dilated_Cardiomyopathy,UCD-0159649
H,9,H09,19,Failing,Dilated_Cardiomyopathy,UCD-0159657
H,12,H12,19,Failing,Dilated_Cardiomyopathy,DMSO
